[2025-01-14 11:26:45] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:28:20] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:29:20] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:37:37] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:01:47] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:24:50] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:25:51] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:26:52] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:27:53] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:28:54] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:29:55] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:30:56] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:31:57] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:32:57] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:33:49] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:34:50] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:35:51] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:36:52] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:37:53] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:38:54] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:40:58] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:41:59] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:43:31] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:44:31] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:45:31] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:46:31] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:47:06] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:47:31] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:48:28] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:48:31] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:49:31] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:50:19] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:50:32] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:51:19] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:51:33] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:52:19] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:52:34] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:53:19] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:53:35] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 12:54:19] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:02:30] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:03:31] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:04:32] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:05:33] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:06:34] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:07:35] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:08:36] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:09:37] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
